area_name,population,area_km,density,,
AIR BASE,43168,5.03,8579.89,,
BOMAS,16646,123.43,134.86,,
CALIFORNIA,21699,0.48,45253.39,,
CITY CENTRE,9611,1.34,7183.65,,
CITY SQUARE,246,1.32,186.66,,
DANDORA A,56477,1.97,28672.89,,
DANDORA B,85569,1.95,43917.57,,
EASTLEIGH NORTH,43258,0.88,49285.63,,
EASTLEIGH SOUTH /KIAMBIO,66264,1.04,63776.71,,
EMBAKASI,65034,45.03,1444.17,,
GARDEN,12324,12.59,979.04,,
GATINA,45872,1.51,30411.03,,
GATWIKIRA,24991,0.29,85322.64,,
GICHAGI,19454,0.87,22243.31,,
GIKOMBA,1570,0.06,26342.28,,
GITATHURU,21735,0.48,45262.39,,
GITHURAI,51610,1.96,26357.18,,
GOROFANI/ BONDENI,5195,0.17,30594.82,,
HAMZA,16251,0.89,18232.92,,
HARAMBEE,26259,2.19,11994.24,,
HARDY,9114,14.28,638.09,,
HAZINA,20885,4.38,4773.06,,
HIGHRIDGE,27267,3.74,7292.98,,
HURUMA,72495,0.7,103431.3,,
IMARA DAIMA,70641,3.92,18042.3,,
KABIRIA,9113,2.69,3385.84,,
KAHAWA WEST,23038,5.13,4486.99,,
KALOLENI,7761,0.61,12796.37,,
KAMUKUNJI,1188,0.24,4886.88,,
KAMUTHI,4400,1.17,3764.54,,
KANGEMI,44564,1.57,28298.2,,
KAREN,8796,23.04,381.78,,
KARIOBANGI NORTH,39342,1.1,35778.46,,
KARIOBANGI SOUTH,33036,1.41,23479.74,,
KARURA,15638,19.36,807.93,,
KASARANI,61316,11.67,5254.29,,
KAWANGWARE,67414,2.39,28257.53,,
KAYOLE,140321,2.39,58655.27,,
KENYATTA /GOLF COURSE,22816,5.1,4474.69,,
KIAMAIKO,33824,0.67,50619.57,,
KIBERA,9786,0.15,65196.54,,
KILELESHWA,16802,5.23,3209.61,,
KILIMANI,28932,8.97,3226.64,,
KIMATHI,21605,1.3,16614.12,,
KIRIGU,12208,1.74,7027.4,,
KITISURU,6193,8.61,719.51,,
KIWANJA,16956,8.75,1937.32,,
KOMA ROCK,35628,3.08,11582.2,,
KONGO SOWETO,16443,1.2,13649.04,,
KOROGOCHO,10376,0.22,46136.06,,
KYUNA,7039,3.4,2071.57,,
LAINI SABA,28182,0.37,75941.79,,
LANDI MAWE,26509,5.55,4772.1,,
LANGATA,10401,17.48,595.07,,
LENANA,4992,16.59,300.88,,
LINDI,35158,0.5,70301.94,,
LORESHO,18010,9.3,1936.64,,
LUMUMBA/JERICHO,5979,0.38,15746.64,,
MABATINI,28260,0.35,79740.41,,
MAJENGO,16287,0.29,55322.69,,
MAKINA,25242,0.66,38508.01,,
MAKONGENI,12302,0.68,18203.61,,
MATHARE,20463,0.82,25040.38,,
MATHARE 4A,18776,0.22,87208.55,,
MATHARE NORTH,55158,0.46,119054.61,,
MAZIWA,14190,7.09,2000.08,,
MBOTELA,10959,0.46,23654.22,,
MIHANGO,22936,14.92,1537,,
MLANGO KUBWA,38374,0.41,93005.33,,
MOWLEM,22953,3.41,6722.41,,
MT. VIEW,16681,2.2,7574.01,,
MUGUMO-INI,30391,2.98,10186.36,,
MUKURU KWA NJENGA,130401,8.11,16082.01,,
MUTHAIGA,10815,18.79,575.73,,
MUTHANGARI,10400,3.8,2733.6,,
MUTHURWA,3471,0.49,7049.15,,
MUTUINI,5765,3.28,1758.1,,
MWIKI,39156,18.79,2084.24,,
NAIROBI SOUTH,32418,1.56,20802.1,,
NAIROBI WEST,33377,6.91,4833.11,,
NGANDO,34014,3.16,10757.12,,
NGARA EAST,15583,1.31,11930.94,,
NGARA WEST,9771,1.28,7622.87,,
NGUNDU,9513,51.52,184.63,,
NJATHAINI,7347,5.3,1385.47,,
NJIRU,22482,5.18,4338.81,,
NYAYO,9835,0.19,52286.02,,
NYAYO HIGHRISE,24191,0.39,61980.53,,
OFAFA MARINGO,14437,0.65,22341.38,,
OLYMPIC/KYANDA,29356,0.74,39478.21,,
PANGANI,37062,1.68,22001.78,,
RIRUTA,65320,4.16,15717.41,,
ROYSAMBU,28007,9.78,2863.85,,
RUAI,26448,48.95,540.25,,
RUARAKA,60741,3.9,15580.61,,
RUTHIMITU,15269,4.84,3155.73,,
S. MOYO,14932,0.62,24072.22,,
SAIKA,26971,3.88,6955.23,,
SAVANNAH,75888,4.78,15859.56,,
SIRANGA,17363,0.24,71072.45,,
SOUTH C,47202,15.1,3126.13,,
SPRING VALLEY,5079,2.06,2462.31,,
UHURU,23218,1.51,15347.7,,
UMOJA II,101477,3.13,32472.64,,
UPPER PARKLANDS,6038,2.38,2537.08,,
UTALII,17499,1.69,10361.8,,
UTHIRU,17306,3.06,5656.29,,
VIWANDANI,44881,5.71,7858.83,,
WAITHAKA,21941,2.28,9609.76,,
WOODLEY,12539,4.42,2837.01,,
ZIMMERMAN,31565,1.83,17290.21,,
ZIWANI,8918,0.83,10764.03,,
